code,name,sector,markets,asset_type,industries,risk
123155,中陆转债,可转债,A股,转债,,中
123156,博汇转债,可转债,A股,转债,,中
123159,崧盛转债,可转债,A股,转债,,中
123166,蒙泰转债,可转债,A股,转债,,中
123168,惠云转债,可转债,A股,转债,,中
123171,共同转债,可转债,A股,转债,,中
123173,恒锋转债,可转债,A股,转债,,中
123175,百畅转债,可转债,A股,转债,,中
123185,能辉转债,可转债,A股,转债,,中
123189,晓鸣转债,可转债,A股,转债,,中
123196,正元转02,可转债,A股,转债,,中
123198,金埔转债,可转债,A股,转债,,中
123199,山河转债,可转债,A股,转债,,中
123200,海泰转债,可转债,A股,转债,,中
123206,开能转债,可转债,A股,转债,,中
123207,冠中转债,可转债,A股,转债,,中
123220,易瑞转债,可转债,A股,转债,,中
123224,宇邦转债,可转债,A股,转债,,中
123229,艾录转债,可转债,A股,转债,,中
123230,金钟转债,可转债,A股,转债,,中
123232,金现转债,可转债,A股,转债,,中
123234,Z能转债,可转债,A股,转债,,中
123250,嘉益转债,可转债,A股,转债,,中
123259,锦浪转02,可转债,A股,转债,,中
127028,英特转债,可转债,A股,转债,,中
127034,绿茵转债,可转债,A股,转债,,中
127044,蒙娜转债,可转债,A股,转债,,中
127059,永东转2,可转债,A股,转债,,中
127093,章鼓转债,可转债,A股,转债,,中
127096,泰坦转债,可转债,A股,转债,,中
127099,盛航转债,可转债,A股,转债,,中
127108,太能转债,可转债,A股,转债,,中
127110,广核转债,可转债,A股,转债,,中
159003,招商快线,A股,A股,ETF,,中
159307,100红利,A股,A股,ETF,宽基;红利,中
159329,沙特ETF,沙特,沙特,ETF,主题,中高
159338,中证A500,A股,A股,ETF,宽基,中
159501,纳指基金,美股(QDII),美国,ETF,科技,高
159502,标普生科,美股(QDII),美国,ETF,医药,中高
159509,纳指科技,美股(QDII),美国,ETF,科技;半导体,高
159518,标普油气,美股(QDII),美国,ETF,油气,中高
159529,标普消费,美股(QDII),美国,ETF,消费,中高
159561,德国ETF,德国,德国,ETF,主题,中高
159577,美国50,美股(QDII),美国,ETF,,中高
159601,A50,A股,A股,ETF,宽基,中
159612,国泰标普,美股(QDII),美国,ETF,,中高
159632,纳斯达克,美股(QDII),美国,ETF,科技,高
159649,国开债,国债+短融货基,A股,ETF,,低
159650,国开ETF,国债+短融货基,A股,ETF,,低
159655,标普ETF,美股(QDII),美国,ETF,,中高
159659,纳指,美股(QDII),美国,ETF,科技,高
159660,纳指100,美股(QDII),美国,ETF,科技;宽基,高
159696,纳100ETF,美股(QDII),美国,ETF,科技;宽基,高
159711,港股50,H股,香港,ETF,,中高
159780,双创ETF,A股,A股,ETF,科技,中
159866,日经ETF,日本,日本,ETF,主题,中高
159915,创业板,A股,A股,ETF,科技,中
159941,纳指ETF,美股(QDII),美国,ETF,科技,高
160125,南方香港,H股,香港,LOF,,中高
160140,美国REIT,美股(QDII),美国,LOF,,中高
160215,国泰价值,A股,A股,LOF,,中
160216,国泰商品,商品(黄金/REITs),全球,LOF,商品,中
160221,国泰有色,商品(黄金/REITs),全球,LOF,商品;有色,中
160324,华夏磐晟,A股,A股,LOF,,中
160416,石油基金,商品(黄金/REITs),全球,LOF,商品,中高
160622,鹏华丰利,国债+短融货基,A股,LOF,,低
160632,酒LOF,A股,A股,LOF,白酒,中
160644,互联网QD,美股(QDII),美国,LOF,互联网,中高
160719,嘉实黄金,商品(黄金/REITs),全球,LOF,商品;黄金,中
160723,嘉实原油,商品(黄金/REITs),全球,LOF,商品;油气,中高
161005,富国天惠,A股,A股,LOF,,中
161010,富国天丰,A股,A股,LOF,,中
161116,易基黄金,商品(黄金/REITs),全球,LOF,商品;黄金,中
161123,并购重组,A股,A股,LOF,主题,中
161124,香港小盘,H股,香港,LOF,,高
161125,标普500,美股(QDII),美国,LOF,宽基,中高
161126,标普医药,美股(QDII),美国,LOF,医药,中高
161127,标普生物,美股(QDII),美国,LOF,医药,中高
161128,标普科技,美股(QDII),美国,LOF,科技,高
161129,原油基金,商品(黄金/REITs),全球,LOF,商品;油气,中高
161130,纳指LOF,美股(QDII),美国,LOF,科技,高
161216,双债A,国债+短融货基,A股,LOF,,低
161217,国投资源,商品(黄金/REITs),全球,LOF,商品,中
161225,国投瑞盈,A股,A股,LOF,,中
161226,白银基金,商品(黄金/REITs),全球,LOF,商品;白银,中
161232,国投瑞盛,A股,A股,LOF,,中
161715,大宗商品,商品(黄金/REITs),全球,LOF,商品,中
161716,招商双债,国债+短融货基,A股,LOF,,低
161810,银华内需,A股,A股,LOF,,中
161815,银华通胀,商品(黄金/REITs),全球,LOF,商品,中
162411,华宝油气,美股(QDII),美国,LOF,油气,中高
162415,美国消费,美股(QDII),美国,LOF,消费,中高
162719,广发石油,商品(黄金/REITs),全球,LOF,商品,中高
163208,诺安油气,商品(黄金/REITs),全球,LOF,商品;油气,中高
163417,兴全合宜,A股,A股,LOF,,中
163418,兴全合兴,A股,A股,LOF,,中
164701,黄金LOF,商品(黄金/REITs),全球,LOF,商品;黄金,中
164824,印度基金,印度,印度,LOF,主题,中高
165520,信诚有色,商品(黄金/REITs),全球,LOF,商品;有色,中
167503,安信一带,A股,A股,LOF,主题,中
168203,国联钢铁,A股,A股,LOF,周期,中
168204,国联煤炭,A股,A股,LOF,煤,中
168401,红土精选,A股,A股,LOF,,中
180605,华威REIT,A股,A股,REITs,REITs;基建,中
180901,润泽REIT,A股,A股,REITs,REITs;基建,中
300168,万达信息,A股,A股,个股,,中高
300740,水羊股份,A股,A股,个股,,中高
300997,欢乐家,A股,A股,个股,,中高
301488,豪恩汽电,A股,A股,个股,,中高
501018,南方原油,商品(黄金/REITs),全球,QDII,商品;油气,中高
501057,新能源车,A股,A股,QDII,能源,中
501225,全球芯片,美股(QDII),美国,QDII,半导体,高
501227,红利优选,A股,A股,QDII,红利,中
501300,美元债,国债+短融货基,美国,QDII,,低
501301,香港大盘,H股,香港,QDII,,中高
501305,港股高息,H股,香港,QDII,红利,中高
501306,港股高C,H股,香港,QDII,,中高
501311,新经济HK,A股,A股,QDII,,中
501312,海外科技,美股(QDII),美国,QDII,科技,高
508060,万国REIT,A股,A股,REITs,REITs;基建,中
508087,济南能源,A股,A股,ETF,能源,中
510230,金融ETF,A股,A股,ETF,金融,中
510300,300ETF,A股,A股,ETF,宽基,中
510330,华夏300,A股,A股,ETF,宽基,中
510500,500ETF,A股,A股,ETF,宽基,中
511010,国债ETF,国债+短融货基,A股,ETF,,低
511130,国债30年,国债+短融货基,A股,ETF,,中低
511160,国债东财,国债+短融货基,A股,ETF,,低
511260,十年国债,国债+短融货基,A股,ETF,,低
511360,短融ETF,国债+短融货基,A股,ETF,,极低
511520,政金债,国债+短融货基,A股,ETF,,低
511880,银华日利,国债+短融货基,A股,货基,,极低
511990,华宝添益,A股,A股,ETF,,中
512010,医药ETF,A股,A股,ETF,医药,中
512100,1000ETF,A股,A股,ETF,宽基,中
512890,红利低波,A股,A股,ETF,红利,中
513000,225ETF,日本,日本,ETF,主题,中高
513010,港股科技,H股,香港,ETF,科技;港股科技,中高
513030,德国ETF,德国,德国,ETF,主题,中高
513080,法国ETF,法国,法国,ETF,主题,中高
513100,纳指ETF,美股(QDII),美国,ETF,科技,高
513110,纳指100,美股(QDII),美国,ETF,科技;宽基,高
513290,纳指生物,美股(QDII),美国,ETF,科技;医药,高
513300,纳斯达克,美股(QDII),美国,ETF,科技,高
513350,油气ETF,美股(QDII),美国,ETF,油气,中高
513390,纳指基金,美股(QDII),美国,ETF,科技,高
513400,道琼斯,美股(QDII),美国,ETF,,中高
513500,标普500,美股(QDII),美国,ETF,宽基,中高
513520,日经ETF,日本,日本,ETF,主题,中高
513550,港股通50,H股,香港,ETF,,中高
513650,标普ETF,美股(QDII),美国,ETF,,中高
513730,东南亚,东南亚,东南亚,ETF,主题,中高
513800,东证ETF,日本,日本,ETF,主题,中高
513850,美国50,美股(QDII),美国,ETF,,中高
513870,纳指指数,美股(QDII),美国,ETF,科技,高
513880,日经225,日本,日本,ETF,主题,中高
515080,中证红利,A股,A股,ETF,红利,中
515180,100红利,A股,A股,ETF,宽基;红利,中
515300,红利300,A股,A股,ETF,宽基;红利,中
518850,黄金9999,商品(黄金/REITs),全球,ETF,商品;黄金,中
518880,黄金ETF,商品(黄金/REITs),全球,ETF,商品;黄金,中
520830,沙特ETF,沙特,沙特,ETF,主题,中高
560510,中证A500,A股,A股,ETF,宽基,中
563020,低波红利,A股,A股,ETF,红利,中
563080,中证A50E,A股,A股,ETF,宽基,中
588000,科创50,A股,A股,ETF,科技,中
588050,科创ETF,A股,A股,ETF,科技,中
588220,科创100F,A股,A股,ETF,科技;宽基,中
600011,华能国际,A股,A股,个股,能源,中高
600036,招商银行,A股,A股,个股,银行,中高
600196,复星医药,A股,A股,个股,医药,中高
600399,抚顺特钢,A股,A股,个股,周期,中高
600435,北方导航,A股,A股,个股,,中高
600519,贵州茅台,A股,A股,个股,白酒,中高
600771,广誉远,A股,A股,个股,,中高
600895,张江高科,A股,A股,个股,,中高
600900,长江电力,A股,A股,个股,能源,中高
600938,中国海油,A股,A股,个股,油气,中高
600941,中国移动,A股,A股,个股,基建,中高
600999,招商证券,A股,A股,个股,金融,中高
601006,大秦铁路,A股,A股,个股,周期;基建,中高
601016,节能风电,A股,A股,个股,,中高
601288,农业银行,A股,A股,个股,银行,中高
601398,工商银行,A股,A股,个股,银行,中高
601628,中国人寿,A股,A股,个股,保险,中高
603076,乐惠国际,A股,A股,个股,,中高
603101,汇嘉时代,A股,A股,个股,,中高
603716,塞力医疗,A股,A股,个股,医药,中高
605081,太和水,A股,A股,个股,,中高
605300,佳禾食品,A股,A股,个股,食品,中高
830946,森萱医药,A股,A股,个股,医药,中高
836826,盖世食品,A股,A股,个股,食品,中高
920826,盖世食品,A股,A股,个股,食品,中高
920946,森萱医药,A股,A股,个股,医药,中高
